group,idiom,explanation,example
味道气味-鲜,鲜嫩多汁,形容食物又鲜又嫩，汁水很多。,这个桃子鲜嫩多汁。
味道气味-鲜,回味无穷,吃完后还在回味，形容味道非常好。,妈妈做的红烧肉让人回味无穷。
味道气味-香,芳香四溢,香气向四处飘散。,花园里芳香四溢，引来很多蝴蝶。
味道气味-香,清香扑鼻,清雅的香味直往鼻子里钻。,雨后空气清新，花香更是清香扑鼻。
味道气味-香,香气袭人,香味扑面而来，让人感到舒服。,满树的桂花香气袭人。
味道气味-香,浓郁醇香,形容气味浓厚，味道纯正。,咖啡的浓郁醇香充满了整个屋子。
味道气味-淡,清淡爽口,味道清淡，吃起来很爽快。,夏天吃凉拌黄瓜，清淡爽口。
味道气味-淡,淡而无味,味道太淡，没有滋味。,这道菜盐放少了，淡而无味。
味道气味-浓,浓郁芬芳,形容香气浓厚。,这瓶香水浓郁芬芳。
味道气味-浓,浓香四溢,浓郁的香气四处飘散。,烤肉店浓香四溢，路过的人都忍不住停下来。
味道气味-臭,臭气熏天,臭味非常大，熏得人受不了。,垃圾堆臭气熏天。
味道气味-臭,腥臭难闻,又腥又臭，非常难闻。,鱼摊上散发出一股腥臭味。
味道气味-美味,垂涎欲滴,馋得口水都快滴下来了。,看到满桌的菜，我垂涎欲滴。
味道气味-美味,大饱口福,好好地吃了一顿，非常满足。,今天去自助餐大饱口福。
味道气味-美味,秀色可餐,形容女子或景色非常美，也形容食物好看。,这道菜摆盘精美，真是秀色可餐。
味道气味-美味,津津有味,吃得很有滋味，很有兴趣。,他津津有味地吃着妈妈包的饺子。
味道气味-美味,脍炙人口,比喻好的事物人人称赞。,这个故事脍炙人口，很多人都知道。
味道气味-美味,饕餮大餐,非常丰盛的大餐。,过年的时候，全家人一起享用饕餮大餐。
表示看,注视,注意地看。,他注视着黑板上的每一个字。
表示看,凝视,集中注意力长时间地看。,他凝视着远方，好像在思考什么。
表示看,眺望,从高处向远处看。,站在山顶眺望，整个城市尽收眼底。
表示看,俯视,从高处往下看。,从飞机上俯视，地上的房子像积木一样。
表示看,仰望,抬起头向上看。,我们仰望星空，寻找北斗星。
表示看,环视,向四周看。,老师环视了一下教室，开始上课。
表示看,扫视,目光很快地向周围看。,他扫视了一遍试卷，开始答题。
表示看,怒视,愤怒地看。,他怒视着那个说谎的人。
表示看,打量,上下仔细地看一个人。,妈妈上下打量着我，说我长高了。
表示看,浏览,粗略地看，不仔细。,我浏览了一下报纸的标题。
表示看,观察,仔细地看，了解情况。,我们要仔细观察小动物的生活习性。
表示看,张望,向四周或远处看。,他在门口张望，等着朋友到来。
表示看,瞻仰,恭敬地看。,我们去烈士陵园瞻仰英雄纪念碑。
表示看,偷瞄,偷偷地看。,他偷瞄了同桌的答案一眼。
表示看,目不转睛,一眨不眨地盯着看。,他目不转睛地看着电视。
表示看,东张西望,到处乱看。,在街上不要东张西望，要注意交通安全。
表示说,讲述,把事情或道理说出来。,爷爷正在讲述他年轻时的故事。
表示说,描述,用语言把事物的形象说出来。,他生动地描述了这次旅行的经历。
表示说,叙述,把事情的前后经过说清楚。,他把事情的经过详细地叙述了一遍。
表示说,讨论,大家互相发表意见。,我们正在讨论周末去哪里玩。
表示说,议论,对人或事发表意见。,大家对这件事议论纷纷。
表示说,唠叨,说个不停，翻来覆去地说。,妈妈又在唠叨我收拾房间了。
表示说,叮嘱,再三嘱咐。,妈妈叮嘱我路上注意安全。
表示说,吩咐,口头指派或命令。,老师吩咐我们把作业交上去。
表示说,交流,互相沟通，交换意见。,同学们在一起交流学习经验。
表示说,商量,交换意见，一起讨论。,我们正在商量明天春游的事。
表示说,反驳,说出自己的理由来否定别人的意见。,他有力地反驳了对方的观点。
表示说,辩论,双方各执一词，说明自己的道理。,双方就这个问题进行了激烈的辩论。
表示说,劝告,用道理劝人改正错误或接受意见。,我劝告他不要这样做。
表示说,称赞,用语言表达对人或事物的喜爱和赞美。,老师称赞我学习进步了。
表示说,欢呼,欢乐地呼喊。,胜利的消息传来，大家欢呼起来。
表示说,倾诉,把心里的话完全说出来。,她向我倾诉了自己的烦恼。
表示说,发誓,庄严地说出表示决心的话。,他发誓一定要好好学习。
表示说,抱怨,心中不满，诉说别人的不对。,他不停地抱怨天气太热了。
表示说,撒谎,故意说假话。,他因为撒谎被妈妈批评了。
表示说,道歉,表示歉意，认错。,他为自己的迟到向大家道歉。
表示叫,大喊,大声叫喊。,"他大喊一声：""加油！"""
表示叫,狂叫,疯狂地叫喊。,球迷们狂叫着为球队助威。
表示叫,吼叫,发出很大的吼声。,狮子发出震天的吼叫。
表示叫,尖叫,尖声叫喊。,看到蟑螂，她尖叫起来。
表示叫,嚎叫,大声地叫，多指动物。,狼在夜里嚎叫。
表示叫,呼喊,大声喊叫，多用于求救或呼唤。,他大声呼喊着小明的名字。
表示叫,啼叫,鸟类的叫声。,公鸡早早地啼叫，叫醒了沉睡的人们。
表示叫,呼唤,大声叫喊，让人过来。,妈妈在远处呼唤我吃饭。
表示叫,叫嚷,大声喊叫吵闹。,孩子们在一旁叫嚷着要出去玩。
表示叫,嘶鸣,马等动物长声叫。,战马发出阵阵嘶鸣。
表示叫,咆哮,愤怒地大声叫喊。,暴风雨中的大海在咆哮。
表示叫,鸣叫,鸟兽或昆虫叫。,小鸟在枝头欢快地鸣叫。
表示叫,呐喊,大声喊叫助威。,我们在场边呐喊助威。
表示叫,长啸,拉长声音大声叫。,山风呼啸，像巨龙在长啸。
书写类,下笔成文,一下笔就能写成文章，形容文思敏捷。,他下笔成文，很快写完了作文。
书写类,妙笔生花,形容文笔好，写出的文章很美。,他妙笔生花，把平凡的景色写得美极了。
书写类,信笔涂鸦,随意乱写乱画。,弟弟在墙上信笔涂鸦。
书写类,笔走龙蛇,形容书法笔势矫健有力，像龙蛇飞舞。,爷爷的书法笔走龙蛇，非常潇洒。
书写类,一挥而就,一动笔就写成了，形容写作或绘画很快。,他文思敏捷，一挥而就写完了文章。
书写类,字如其人,字写得怎么样，可以看出人的性格。,他的字工工整整的，真是字如其人。
写作类,开门见山,比喻说话或写文章一开头就直奔主题。,这篇文章开门见山，直接点明了观点。
写作类,画龙点睛,比喻在关键的地方用一两句话点明主旨。,文章的结尾画龙点睛，让人印象深刻。
写作类,步步深入,一步一步地进入更深的层次。,他分析问题步步深入，很有条理。
写作类,条理清晰,思路清楚，层次分明。,这篇作文条理清晰，结构完整。
写作类,详略得当,详细的地方和简略的地方安排得合适。,他的文章详略得当，重点突出。
写作类,首尾呼应,开头和结尾互相照应。,这篇文章首尾呼应，结构非常完整。
写作类,引经据典,引用经典著作中的话作为依据。,他的演讲引经据典，很有说服力。
写作类,紧扣主题,紧紧扣住文章的主题来写。,全文紧扣主题，没有一句废话。
写作类,有血有肉,形容文章内容丰富，不空洞。,这篇作文写得很真实，有血有肉。
写作类,感情真挚,感情真实诚恳。,文章感情真挚，读来让人感动。
写作类,语言优美,用词用语很优美，有文学色彩。,这篇散文语言优美，读来是一种享受。
写作类,构思巧妙,文章的结构和思路设计得巧妙。,这篇文章构思巧妙，结尾让人意想不到。
写作类,比喻恰当,比喻用得贴切准确。,文中比喻恰当，让景物描写非常生动。
写作类,表达流畅,语言表达通顺自然。,他的英语作文表达流畅，几乎没有语法错误。
写作类,层次分明,文章的层次清楚明白。,写景作文要注意层次分明。
写作类,内容充实,文章的内容丰富。,这篇文章内容充实，读后很有收获。
写作类,生动形象,写得很生动，像真的一样。,他的人物描写非常生动形象。
写作类,条理分明,非常有条理，很清楚。,他的发言条理分明，大家都听懂了。
成语归类-数字,一心一意,形容专心致志，没有其他念头。,他做作业一心一意，从不分心。
成语归类-数字,三心二意,形容心思不专，意志不坚定。,做事不能三心二意，要坚持到底。
成语归类-数字,四面八方,各个方向，到处。,同学们从四面八方赶来参加校庆。
成语归类-数字,五颜六色,颜色很多，非常好看。,教室里挂满了五颜六色的气球。
成语归类-数字,七嘴八舌,很多人都在说话，你一言我一语。,大家七嘴八舌地讨论着比赛结果。
成语归类-数字,九牛一毛,很多牛身上的一根毛，比喻极少。,这点钱对他来说只是九牛一毛。
成语归类-数字,十全十美,各方面都非常完美，没有一点缺点。,世界上没有十全十美的人。
成语归类-数字,百发百中,形容射箭或射击非常准，每发必中。,他投篮百发百中，是队里的得分王。
成语归类-数字,千辛万苦,各种各样的辛苦和艰难。,父母千辛万苦把我们养大。
成语归类-数字,万紫千红,形容花开得非常茂盛，颜色绚丽。,春天的花园万紫千红。
成语归类-动物,守株待兔,比喻不劳而获或死守经验不知变通。,我们不要守株待兔，要主动去争取。
成语归类-动物,亡羊补牢,出了问题以后想办法补救，防止继续损失。,虽然这次考得不好，但亡羊补牢还为时不晚。
成语归类-动物,画蛇添足,比喻做了多余的事，反而不好。,这个故事已经讲完了，再加一句就是画蛇添足了。
成语归类-动物,狐假虎威,比喻仗着别人的势力来欺压人。,他仗着哥哥是班长就狐假虎威。
成语归类-动物,井底之蛙,比喻见识狭窄的人。,我们要多读书，不要做井底之蛙。
成语归类-动物,鸟语花香,鸟儿唱歌，花儿飘香，形容春天美景。,春天的公园鸟语花香。
成语归类-动物,鸡飞狗跳,鸡飞狗也跳，形容非常慌乱。,教室里被闹得鸡飞狗跳。
成语归类-动物,叶公好龙,比喻口头上爱好，实际上并不是真爱好。,他说喜欢看书，却一本也没看完，真是叶公好龙。
成语归类-动物,对牛弹琴,比喻说话不看对象，或对不懂道理的人讲道理。,跟他讲这些等于对牛弹琴。
成语归类-动物,鹤立鸡群,像鹤站在鸡群中，比喻一个人的才能或仪表很出众。,他的个子在同学中鹤立鸡群。
成语归类-动物,画龙点睛,比喻在关键的地方用一两句话点明要旨。,结尾这句话起到了画龙点睛的作用。
成语归类-动物,马到成功,形容事情顺利，一开始就取得成功。,祝你在比赛中马到成功！
成语归类-动物,龙飞凤舞,形容书法笔势有力，灵活舒展。,他的字龙飞凤舞，很有气势。
成语归类-动物,鼠目寸光,比喻目光短浅，只看眼前。,我们要目光长远，不能鼠目寸光。
成语归类-动物,虎头蛇尾,比喻做事有始无终，开头很猛后来就松懈了。,他做事总是虎头蛇尾。
成语归类-动物,狼吞虎咽,形容吃东西又急又猛。,他饿极了，狼吞虎咽地吃了起来。
成语归类-动物,龙腾虎跃,形容充满活力，矫健有力。,操场上同学们龙腾虎跃，热火朝天。
成语归类-动物,惊弓之鸟,比喻受过惊吓的人遇到一点动静就非常害怕。,他被打怕了，像惊弓之鸟一样。
成语归类-动物,莺歌燕舞,黄莺歌唱，燕子飞舞，形容春天热闹的景象。,春天莺歌燕舞，一派生机。
成语归类-动物,如鱼得水,像鱼得到水一样，比喻得到适合自己的环境。,他在新学校如鱼得水。
成语归类-动物,鹏程万里,比喻前程远大。,祝你今后鹏程万里，前途无量。
成语归类-动物,鹦鹉学舌,像鹦鹉一样学人说话，比喻别人怎么说也跟着说。,他没有自己的见解，只会鹦鹉学舌。
成语归类-动物,螳臂当车,比喻不自量力。,你想一个人完成这个任务，简直是螳臂当车。
成语归类-动物,黔驴技穷,比喻有限的一点本领已经用完了。,办法都用完了，他已经黔驴技穷了。
成语归类-动物,狗急跳墙,比喻走投无路时不顾一切地行动。,被逼急了，他狗急跳墙，做出了傻事。
成语归类-人体,目瞪口呆,张着嘴说不出话，形容惊讶或害怕。,看到这个场景，我目瞪口呆。
成语归类-人体,眼花缭乱,看到纷繁复杂的东西感到迷乱。,商场里的商品让我眼花缭乱。
成语归类-人体,手舞足蹈,高兴得手脚都动起来了。,他高兴得手舞足蹈。
成语归类-人体,头头是道,说话或做事很有条理。,他分析问题头头是道。
成语归类-人体,耳聪目明,听得清楚，看得明白，形容头脑清楚。,爷爷年纪大了依然耳聪目明。
成语归类-人体,心花怒放,心里非常高兴。,听到这个消息，我心花怒放。
成语归类-人体,唇亡齿寒,嘴唇没了牙齿就会冷，比喻利害相关。,我们两个班级唇亡齿寒，要团结合作。
成语归类-人体,口是心非,嘴里说的和心里想的不一样。,他是个口是心非的人，不可信任。
成语归类-人体,手忙脚乱,做事慌乱没有条理。,快要迟到了，他手忙脚乱地收拾书包。
成语归类-人体,眼高手低,眼界高但能力低，做不好事。,我们要脚踏实地，不能眼高手低。
成语归类-人体,耳濡目染,经常听到看到，不知不觉受到影响。,在书香氛围中耳濡目染，他也很爱读书。
成语归类-人体,趾高气扬,走路脚抬得很高，神气十足，形容骄傲自满。,他得了第一名就趾高气扬的。
成语归类-人体,提心吊胆,形容非常担心害怕。,妈妈总是提心吊胆地等我放学回家。
成语归类-人体,张口结舌,张着嘴说不出话来。,他理亏词穷，张口结舌说不出话来。
成语归类-人体,愁眉苦脸,眉头紧锁，一脸痛苦的样子。,他愁眉苦脸地看着不及格的试卷。
成语归类-人体,眉飞色舞,形容非常得意或高兴。,他眉飞色舞地讲着旅行的趣事。
成语归类-人体,心服口服,从心里到嘴上都服气。,听了他的解释，我心服口服。
成语归类-人体,心血来潮,形容突然产生某种念头。,他心血来潮，想去爬山。
成语归类-人体,心平气和,心里平静，态度温和。,我们心平气和地谈一谈。
成语归类-人体,面不改色,脸色不变，形容非常镇定。,面对危险，他面不改色。
成语归类-近义,左顾右盼,左边看看右边看看，形容犹豫不决的样子。,他在路口左顾右盼。
成语归类-近义,东倒西歪,东倒西歪，形容不稳或杂乱的样子。,新栽的小树被风吹得东倒西歪。
成语归类-近义,前赴后继,前面的人上去，后面的人紧跟，形容奋勇向前。,战士们前赴后继，冲向敌人。
成语归类-近义,长吁短叹,长一声短一声地叹气。,他坐在那里长吁短叹。
成语归类-近义,丢盔弃甲,丢下盔甲和兵器逃跑，形容打败仗很狼狈。,敌人丢盔弃甲，狼狈地逃跑了。
成语归类-近义,甜言蜜语,为了讨好别人而说的好听的话。,不要被坏人的甜言蜜语迷惑。
成语归类-近义,眼疾手快,眼睛锐利，动作敏捷。,他眼疾手快地接住了掉下来的书。
成语归类-近义,高瞻远瞩,站得高看得远，比喻目光长远。,领导要有高瞻远瞩的眼光。
成语归类-近义,风调雨顺,风雨适合，形容年成好。,今年风调雨顺，粮食丰收。
成语归类-近义,兴国安邦,使国家兴盛安定。,我们努力学习是为了将来兴国安邦。
成语归类-反义,七上八下,形容心里慌乱不安。,等待结果时，我的心七上八下的。
成语归类-反义,柳暗花明,比喻在困境中看到希望。,经过努力，他的学习终于柳暗花明。
成语归类-反义,左顾右盼,左边看看右边看看。,走在陌生的街上，他左顾右盼。
成语归类-反义,深入浅出,用浅显的语言表达深刻的道理。,老师讲课深入浅出，我们都听懂了。
成语归类-反义,舍近求远,放弃近的去追求远的，做事走弯路。,你这样做不是舍近求远吗？
成语归类-反义,扬长避短,发挥长处，避开短处。,我们要学会扬长避短。
成语归类-反义,先苦后甜,先吃苦才能享受甜。,学习是先苦后甜的事。
成语归类-反义,取长补短,吸取别人的长处来弥补自己的短处。,同学之间要互相取长补短。
成语归类-反义,出生入死,形容冒着生命危险。,消防员出生入死地救人。
成语归类-反义,惊天动地,形容声音或影响极大。,这是一件惊天动地的大事。
成语归类-反义,左邻右舍,左右的邻居。,我家左邻右舍都很友好。
成语归类-反义,里应外合,外面攻打，里面接应。,他们约定里应外合，一举拿下。
成语归类-反义,天翻地覆,形容变化极大。,这些年家乡发生了天翻地覆的变化。
成语归类-反义,东张西望,到处乱看。,上课不要东张西望。
成语归类-反义,争先恐后,抢着向前，生怕落后。,同学们争先恐后地举手发言。
成语归类-反义,顶天立地,头顶天脚踩地，形容英雄气概。,我们要做一个顶天立地的人。
成语归类-反义,异口同声,大家说得一样。,"大家异口同声地说：""好！"""
成语归类-反义,南辕北辙,行动和目的相反。,你的做法和目标南辕北辙。
成语归类-反义,前因后果,事情的原因和结果。,他把事情的前因后果说清楚了。
成语归类-AABB,高高兴兴,形容非常高兴的样子。,我们高高兴兴地春游去了。
成语归类-AABB,快快乐乐,形容非常快乐。,愿小朋友们快快乐乐地成长。
成语归类-AABB,平平安安,平安无事。,祝大家平平安安回家。
成语归类-AABB,干干净净,非常干净。,我们把教室打扫得干干净净。
成语归类-AABB,认认真真,形容非常认真。,他认认真真地写完每一个字。
成语归类-AABB,仔仔细细,非常仔细。,我仔仔细细地检查了一遍。
成语归类-AABB,热热闹闹,非常热闹。,大街上热热闹闹的。
成语归类-AABB,清清楚楚,非常清楚明白。,老师讲得清清楚楚。
成语归类-AABB,明明白白,非常明白。,我们已经把事情弄得很明明白白了。
成语归类-AABB,慌慌张张,慌乱紧张的样子。,他慌慌张张地跑进了教室。
成语归类-AABB,吞吞吐吐,说话不顺畅，想说又不敢说。,他吞吞吐吐地交代了事情的真相。
成语归类-AABB,浩浩荡荡,形容气势浩大。,游行队伍浩浩荡荡地前进。
成语归类-AABB,风风火火,形容急急忙忙的样子。,他风风火火地赶到了学校。
成语归类-AABB,形形色色,各种各样。,街上形形色色的人来来往往。
成语归类-AABB,勤勤恳恳,勤劳踏实的样子。,爸爸勤勤恳恳地工作了一辈子。
成语归类-AABB,兢兢业业,形容做事小心谨慎，认真负责。,老师兢兢业业地教了一辈子书。
成语归类-AABB,隐隐约约,看不清楚，听不清楚的样子。,远处隐隐约约传来歌声。
成语归类-AABB,轰轰烈烈,形容声势浩大。,我们轰轰烈烈地干了一场。
成语归类-AABB,匆匆忙忙,急急忙忙的样子。,他匆匆忙忙地吃了早饭就上学去了。
成语归类-AABB,认认真真,认真负责的样子。,要认认真真地对待每一次考试。
成语归类-AABC,津津有味,很有兴趣，很有滋味。,他津津有味地读着课外书。
成语归类-AABC,津津乐道,很有兴趣地谈论。,大家津津乐道地谈论着这件事。
成语归类-AABC,念念不忘,一直记在心里，不忘掉。,我对老师的教导念念不忘。
成语归类-AABC,井井有条,形容非常有条理，不杂乱。,他的房间整理得井井有条。
成语归类-AABC,翩翩起舞,轻快地跳舞。,蝴蝶在花丛中翩翩起舞。
成语归类-AABC,楚楚可怜,形容神态凄惨或可爱，让人怜惜。,小猫咪楚楚可怜地叫着。
成语归类-AABC,孜孜不倦,勤奋努力，不知疲倦。,他孜孜不倦地学习。
成语归类-AABC,济济一堂,许多人聚集在一起。,大家济济一堂，共庆佳节。
成语归类-AABC,欣欣向荣,形容草木茂盛，事业蓬勃发展。,春天来了，万物欣欣向荣。
成语归类-AABC,窃窃私语,私下里小声交谈。,她们两个在角落里窃窃私语。
成语归类-AABC,滔滔不绝,说话连续不断。,他谈起足球来滔滔不绝。
成语归类-AABC,遥遥领先,远远地领先。,他的成绩在班上遥遥领先。
成语归类-AABC,惴惴不安,形容因为担心害怕而不安。,走出考场，我惴惴不安地等着成绩。
成语归类-AABC,花团锦簇,形容花色繁多，非常华丽。,公园里花团锦簇，美不胜收。
成语归类-AABC,蠢蠢欲动,形容准备开始行动或有所企图。,虫子们在春天蠢蠢欲动。
成语归类-AABC,步步高升,地位或职位逐步上升。,祝你在新的一年里步步高升！
成语归类-AABC,代代相传,一代一代地传下去。,这个习俗代代相传。
成语归类-AABC,循循善诱,善于有步骤地引导别人学习。,老师循循善诱，让同学们爱上了学习。
成语归类-AABC,勃勃生机,充满活力和生命力。,春天的大地充满了勃勃生机。
成语归类-AABC,栩栩如生,形容生动逼真，像活的一样。,画上的马栩栩如生。
成语归类-ABCC,得意洋洋,形容十分得意的样子。,他考了满分，得意洋洋地回家了。
成语归类-ABCC,千里迢迢,形容路途遥远。,他千里迢迢地从外地赶回来。
成语归类-ABCC,气势汹汹,形容气势凶猛，来势不好。,他气势汹汹地闯进来。
成语归类-ABCC,风尘仆仆,形容旅途奔波劳累的样子。,爸爸风尘仆仆地从外地出差回来。
成语归类-ABCC,大腹便便,形容肚子很大，肥胖的样子。,财主大腹便便的。
成语归类-ABCC,白发苍苍,头发花白，形容人年老。,白发苍苍的爷爷慈祥地笑着。
成语归类-ABCC,神采奕奕,精神饱满，容光焕发。,老爷爷虽然年纪大了，但神采奕奕。
成语归类-ABCC,生机勃勃,充满活力。,春天到处是生机勃勃的景象。
成语归类-ABCC,泪眼汪汪,眼里满是泪水。,她泪眼汪汪地看着我。
成语归类-ABCC,气喘吁吁,呼吸急促，喘个不停。,他跑得气喘吁吁的。
成语归类-ABCC,威风凛凛,使人敬畏的声势或气派。,狮子威风凛凛地走来走去。
成语归类-ABCC,忠心耿耿,形容非常忠诚。,小狗对主人忠心耿耿。
成语归类-ABCC,想入非非,脱离实际地胡思乱想。,他整天想入非非，不好好学习。
成语归类-ABCC,兴致勃勃,兴趣浓厚，很有兴趣。,我们兴致勃勃地出发了。
成语归类-ABCC,金光闪闪,金光闪烁，非常耀眼。,奖杯金光闪闪的。
成语归类-神话故事,精卫填海,比喻意志坚决，不畏艰难。,学习要有精卫填海的精神。
成语归类-神话故事,开天辟地,古代传说盘古开辟天地，指有史以来第一次。,这是开天辟地以来第一次见到。
成语归类-神话故事,八仙过海,比喻各自拿出本领，互相比赛。,同学们八仙过海，各显神通。
成语归类-神话故事,火眼金睛,形容眼光锐利，能看穿一切。,孙悟空有火眼金睛。
成语归类-寓言故事,守株待兔,比喻不劳而获或死守经验。,我们不能守株待兔，要主动出击。
成语归类-寓言故事,掩耳盗铃,比喻自己欺骗自己。,他明知道错了还不承认，简直是掩耳盗铃。
成语归类-寓言故事,亡羊补牢,出了问题后及时补救。,虽然考得不好，现在开始亡羊补牢还来得及。
成语归类-寓言故事,画蛇添足,做了多余的事，反而不好。,文章写完就可以了，再加就是画蛇添足。
成语归类-寓言故事,坐井观天,比喻见识狭窄。,我们要多出去走走，不能坐井观天。
成语归类-寓言故事,狐假虎威,仗着别人的势力来吓唬人。,他总用爸爸来压人，真是狐假虎威。
成语归类-寓言故事,刻舟求剑,比喻办事刻板，不知变通。,时代变了，方法也要变，不能刻舟求剑。
成语归类-寓言故事,叶公好龙,表面上爱好，实际上不是真喜欢。,他说爱读书却不读一本，是叶公好龙。
成语归类-寓言故事,自相矛盾,说话或行事前后互相抵触。,他的话前后自相矛盾。
成语归类-寓言故事,滥竽充数,没有真本事混在行家里面充数。,考试可不能滥竽充数。
成语归类-寓言故事,对牛弹琴,比喻对不懂道理的人讲道理。,跟他说这些，简直是对牛弹琴。
成语归类-寓言故事,鹤蚌相争渔翁得利,双方相争，让第三方得了利。,你们不要吵了，小心鹤蚌相争渔翁得利。
成语归类-历史故事,三顾茅庐,比喻真心诚意地一再邀请。,他三顾茅庐才请到了这位老师。
成语归类-历史故事,望梅止渴,比喻用想象安慰自己。,他饿的时候就看美食图片，望梅止渴。
成语归类-历史故事,负荆请罪,表示诚恳地认错道歉。,他主动负荆请罪，取得了大家的原谅。
成语归类-历史故事,完璧归赵,把东西完好地归还原主。,这本书我看完了一定完璧归赵。
成语归类-历史故事,卧薪尝胆,形容刻苦自励，发奋图强。,他卧薪尝胆，努力了一年终于考上了好学校。
成语归类-历史故事,纸上谈兵,空谈理论，不能解决实际问题。,我们不能纸上谈兵，要多实践。
成语归类-历史故事,四面楚歌,比喻四面受敌，孤立无援。,他众叛亲离，陷入了四面楚歌的境地。
成语归类-历史故事,项庄舞剑意在沛公,比喻言行别有用心。,他说这话是项庄舞剑意在沛公。
成语归类-历史故事,程门立雪,形容尊敬老师，诚恳求教。,我们学习需要程门立雪的精神。
成语归类-历史故事,闻鸡起舞,形容勤奋努力，有志向。,他每天闻鸡起舞，坚持早读。
成语归类-历史故事,草木皆兵,形容惊慌失措，疑神疑鬼。,他吓得草木皆兵，以为到处是坏人。
成语归类-历史故事,破釜沉舟,下定决心，一拼到底。,他们破釜沉舟，誓要取得胜利。
成语归类-历史故事,指鹿为马,故意颠倒黑白，混淆是非。,他指鹿为马，大家敢怒不敢言。
成语归类-历史故事,入木三分,形容书法或议论深刻有力。,他的分析入木三分，让人佩服。
成语归类-历史故事,铁杵成针,比喻做事有恒心，再难也能成功。,只要功夫深，铁杵成针。
成语归类-历史故事,手不释卷,手里总是拿着书，形容好学。,他手不释卷，最终考上了好大学。
成语归类-修辞-比喻,泪如雨下,眼泪像下雨一样流下来。,听到消息，她泪如雨下。
成语归类-修辞-比喻,稳如泰山,像泰山一样稳固。,我军阵地稳如泰山。
成语归类-修辞-比喻,冰清玉洁,像冰一样清透，像玉一样洁白。,她有着冰清玉洁的品质。
成语归类-修辞-比喻,门庭若市,门前像集市一样热闹。,新年期间，商场门庭若市。
成语归类-修辞-比喻,如获至宝,像得到最珍贵的宝物一样。,他拿到那本书如获至宝。
成语归类-修辞-比喻,光阴似箭,时间像箭一样过得飞快。,光阴似箭，一转眼就毕业了。
成语归类-修辞-比喻,日月如梭,时间像织布的梭子一样过得飞快。,日月如梭，一年很快就过去了。
成语归类-修辞-比喻,胆小如鼠,像老鼠一样胆小。,他胆小如鼠，什么都怕。
成语归类-修辞-比喻,柔情似水,像水一样温柔。,妈妈的柔情似水。
成语归类-修辞-比喻,光阴似箭,时间过得飞快。,光阴似箭，我们要珍惜时间。
成语归类-修辞-夸张,一步登天,一步就登上天，比喻一下子达到很高的地位。,学习要一步一个脚印，不能想一步登天。
成语归类-修辞-夸张,怒发冲冠,气得头发都竖起来把帽子顶起来了。,听到这个消息，他怒发冲冠。
成语归类-修辞-夸张,一日三秋,一天不见就像过了三年，形容思念之深。,好朋友转学了，我真是一日三秋地想念他。
成语归类-修辞-夸张,千钧一发,千钧的重量系在一根头发上，比喻非常危急。,就在千钧一发之际，他冲了过去。
成语归类-修辞-夸张,气吞山河,气势可以吞掉高山和大河。,大军气吞山河。
成语归类-修辞-夸张,惊天动地,形容声音或影响极大。,这一声巨响惊天动地。
成语归类-修辞-夸张,一尘不染,连一点灰尘都没有，形容非常干净或品格高尚。,他的心灵一尘不染。
成语归类-修辞-夸张,一字千金,一个字值千金，形容文章或书法价值高。,他的书法一字千金。
成语归类-修辞-夸张,一泻千里,形容水流得又快又远，也形容文笔奔放。,他的文章气势一泻千里。
成语归类-修辞-夸张,度日如年,过一天像过一年一样，形容日子很煎熬。,生病的日子真是度日如年。
成语归类-修辞-拟人,鸟语花香,鸟儿说话花儿飘香，形容春天的美景。,春天的公园鸟语花香。
成语归类-修辞-拟人,莺歌燕舞,黄莺唱歌燕子跳舞，形容生机勃勃。,春天莺歌燕舞，多么美好。
成语归类-修辞-拟人,百花争艳,百花争着比谁更美。,春天百花争艳。
成语归类-修辞-拟人,春风化雨,春风和雨水滋养万物，比喻良好的教育。,老师的教诲如春风化雨。
成语归类-修辞-拟人,龙飞凤舞,像龙飞起来像凤舞动，形容书法笔势有力。,他的书法龙飞凤舞。
成语归类-修辞-拟人,青山绿水,青山像在微笑，绿水像在唱歌。,家乡青山绿水，风景优美。
成语归类-修辞-拟人,风和日丽,微风温柔，太阳美丽。,今天是风和日丽的好天气。
成语归类-修辞-拟人,云开雾散,云雾散开，天气转晴。,云开雾散后，太阳露出了笑脸。
成语归类-修辞-拟人,海枯石烂,海水枯干石头腐烂，形容时间长久。,我们的友谊海枯石烂也不会变。
成语归类-修辞-拟人,花好月圆,花正好月正圆，比喻美好圆满。,祝你们花好月圆，幸福美满。
学习类,专心致志,集中精神，专心做一件事。,他专心致志地读着课外书。
学习类,全神贯注,全部精神集中在一点上。,他全神贯注地听老师讲课。
学习类,聚精会神,集中精神，专注地做某事。,同学们聚精会神地听讲。
学习类,勤奋好学,学习勤奋努力。,他是一个勤奋好学的好学生。
学习类,学而不厌,学习总不满足，形容好学。,他学而不厌，精益求精。
学习类,学无止境,学习没有尽头。,学无止境，我们要活到老学到老。
学习类,不耻下问,不以向不如自己的人请教为耻。,他学习好还不耻下问。
学习类,温故知新,复习旧知识可以学到新知识。,温故知新，才能不断进步。
学习类,举一反三,举出一个例子就能推出其他类似情况。,他善于举一反三，学习效率很高。
学习类,循序渐进,按照一定的步骤逐渐深入或提高。,学习要循序渐进，不能急于求成。
学习类,融会贯通,把各方面知识融合起来全面理解。,他能够融会贯通地运用所学知识。
